,Acidity,Aroma,Flavor,Sweetness,altitude_mean_meters,Country,altitude_low_meters,altitude_high_meters,TotalCupPoints
0,8.75,8.67,8.83,10.0,2075.0,Ethiopia,1950.0,2200.0,90.58
1,8.58,8.75,8.67,10.0,2075.0,Ethiopia,1950.0,2200.0,89.92
2,8.42,8.42,8.5,10.0,1700.0,Guatemala,1600.0,1800.0,89.75
3,8.42,8.17,8.58,10.0,2000.0,Ethiopia,1800.0,2200.0,89.0
4,8.5,8.25,8.5,10.0,2075.0,Ethiopia,1950.0,2200.0,88.83
7,8.42,8.25,8.33,9.33,1635.0,Ethiopia,1570.0,1700.0,88.67
8,8.42,8.67,8.67,9.33,1635.0,Ethiopia,1570.0,1700.0,88.42
9,8.5,8.08,8.58,10.0,1822.5,Ethiopia,1795.0,1850.0,88.25
10,8.5,8.17,8.67,10.0,1905.0,Ethiopia,1855.0,1955.0,88.08
11,8.33,8.25,8.42,10.0,1872.0,United States,1872.0,1872.0,87.92
12,8.42,8.08,8.67,10.0,1943.0,United States,1943.0,1943.0,87.92
13,8.25,8.33,8.42,10.0,609.6,United States (Hawaii),609.6,609.6,87.92
14,8.25,8.25,8.33,9.33,1635.0,Ethiopia,1570.0,1700.0,87.83
15,8.17,8.0,8.5,10.0,2080.0,United States,2080.0,2080.0,87.58
16,7.75,8.33,8.25,10.0,1500.0,Indonesia,1200.0,1800.0,87.42
18,8.17,8.42,8.25,10.0,1450.0,China,1450.0,1450.0,87.25
19,8.17,8.17,8.17,10.0,1850.0,Ethiopia,1700.0,2000.0,87.25
20,8.5,8.0,8.25,10.0,2019.0,United States,2019.0,2019.0,87.25
21,8.17,8.08,8.25,10.0,1300.0,Costa Rica,1300.0,1300.0,87.17
22,8.0,8.17,8.25,10.0,1320.0,Mexico,1320.0,1320.0,87.17
23,8.17,8.25,8.33,10.0,2112.0,United States,2112.0,2112.0,87.08
25,8.0,8.5,8.5,10.0,1250.0,Brazil,1250.0,1250.0,86.92
27,8.17,8.42,8.17,10.0,1950.0,Uganda,1950.0,1950.0,86.83
28,8.0,8.17,8.08,10.0,1400.0,Honduras,1400.0,1400.0,86.67
29,8.25,8.0,8.0,10.0,1200.0,Taiwan,1200.0,1200.0,86.58
32,7.75,8.5,8.17,10.0,1300.0,Brazil,1300.0,1300.0,86.42
33,8.08,8.17,7.83,10.0,1300.0,Costa Rica,1300.0,1300.0,86.33
34,8.0,8.0,8.08,10.0,1775.0,Ethiopia,1750.0,1800.0,86.25
35,8.25,8.08,8.0,10.0,1800.0,Kenya,1800.0,1800.0,86.25
39,8.0,7.67,8.17,10.0,1941.0,United States,1941.0,1941.0,86.17
40,8.25,7.83,8.33,10.0,1300.0,Thailand,1300.0,1300.0,86.17
41,7.75,8.17,7.92,10.0,12.0,Brazil,12.0,12.0,86.17
42,7.75,8.42,7.92,10.0,12.0,Brazil,12.0,12.0,86.17
43,8.08,8.08,8.17,10.0,1000.0,Taiwan,1000.0,1000.0,86.08
